frame_number,frame_time_ms,total_steps,rays_hit,rays_missed,min_steps,max_steps
604,10.7847,231828909,1168389,2518011,5,2001
605,6.1659,235030254,943842,2742558,7,876
606,4.3592,238410108,698699,2987701,10,745
607,4.3843,244696153,416767,3269633,18,711
608,4.2524,248961452,88270,3598130,72,681
609,3.7599,243640405,0,3686400,74,653
610,3.6401,238004856,0,3686400,80,630
611,3.6007,232848124,0,3686400,84,612
612,3.5933,228615796,0,3686400,73,580
613,3.5238,225051324,0,3686400,64,564
614,3.5721,222857217,0,3686400,61,580
615,3.3096,223061760,0,3686400,61,614
616,3.1260,214278894,0,3686400,59,604
617,3.0588,197496942,0,3686400,59,561
618,2.7066,180651707,0,3686400,58,550
619,2.4633,164755375,0,3686400,55,525
